inquiry_id,product_id,lang,text,true_theme
Q00098,P0489,zh,电池容量多少毫安?,feature
Q00099,P0321,zh,能发一下技术参数表吗?,feature
Q00100,P0268,en,Does it come with a CE certification?,feature
Q00101,P0231,zh,春节前能到货吗?,delivery
Q00102,P0133,zh,能保证12月15号前到货吗?,delivery
Q00103,P0208,en,What is the minimum order quantity to get a discount?,price
Q00104,P0183,en,"Your competitor offers $X less, can you match it?",price
Q00105,P0342,en,What is the minimum order quantity to get a discount?,price
Q00106,P0458,zh,这个月有促销价吗?,price
Q00107,P0267,en,Do you support DDP shipping to the US?,delivery
Q00108,P0402,zh,电池容量多少毫安?,feature
Q00109,P0144,zh,发到德国需要多久?,delivery
Q00110,P0347,en,Can you share the technical spec sheet?,feature
Q00111,P0307,en,"We need custom retail packaging, is that possible?",customization
Q00112,P0042,zh,这个月有促销价吗?,price
Q00113,P0479,en,"We need custom retail packaging, is that possible?",customization
Q00114,P0391,zh,材料是否不含BPA?,feature
Q00115,P0126,zh,这个产品支持IPX7防水吗?,feature
Q00116,P0308,en,Can you share the technical spec sheet?,feature
Q00117,P0286,zh,大批量采购可以给个更好的价格吗?,price
Q00118,P0381,zh,急单能走空运吗?,delivery
Q00119,P0299,en,What is the battery capacity?,feature
Q00120,P0058,en,Can you change the box design to our brand?,customization
Q00121,P0209,zh,和同类产品相比价格偏高。,price
Q00122,P0166,zh,有CE认证吗?,feature
Q00123,P0135,zh,可以做自有品牌包装吗?,customization
Q00124,P0078,en,Can you guarantee delivery before December 15?,delivery
Q00125,P0218,zh,"你们竞争对手报价更低,能否匹配?",price
Q00126,P0276,zh,能保证12月15号前到货吗?,delivery
Q00127,P0239,zh,可以做自有品牌包装吗?,customization
Q00128,P0358,zh,发到德国需要多久?,delivery
Q00129,P0425,en,Do you support OEM/ODM service?,customization
Q00130,P0294,en,Is the material BPA-free?,feature
Q00131,P0227,en,Does this product support waterproof IPX7?,feature
Q00132,P0229,en,What's the warranty period?,feature
Q00133,P0459,en,What's the lead time for 1000 units?,delivery
Q00134,P0498,en,Is the material BPA-free?,feature
Q00135,P0418,en,Can you change the box design to our brand?,customization
Q00136,P0332,zh,大批量采购可以给个更好的价格吗?,price
Q00137,P0448,en,Does it come with a CE certification?,feature
Q00138,P0071,en,"Your competitor offers $X less, can you match it?",price
Q00139,P0455,en,Does this product support waterproof IPX7?,feature
Q00140,P0002,en,Does this product support waterproof IPX7?,feature
Q00141,P0400,zh,首次合作能给9折吗?,price
Q00142,P0028,zh,最低起订量多少才能拿到折扣?,price
Q00143,P0386,zh,这个产品支持IPX7防水吗?,feature
Q00144,P0020,zh,材料是否不含BPA?,feature
Q00145,P0252,en,Do you have any promotional pricing this month?,price
Q00146,P0425,zh,这个产品支持IPX7防水吗?,feature
Q00147,P0096,zh,大批量采购可以给个更好的价格吗?,price
Q00148,P0490,zh,"你们竞争对手报价更低,能否匹配?",price
Q00149,P0308,en,Does this product support waterproof IPX7?,feature
Q00150,P0354,zh,"你们竞争对手报价更低,能否匹配?",price
Q00151,P0091,en,The price seems high compared to similar products.,price
Q00152,P0392,en,Is private label packaging available?,customization
Q00153,P0072,zh,材料是否不含BPA?,feature
Q00154,P0289,en,Can the color be customized?,customization
Q00155,P0470,zh,材料是否不含BPA?,feature
Q00156,P0202,zh,这个月有促销价吗?,price
Q00157,P0067,en,Will the order arrive before Chinese New Year?,delivery
Q00158,P0213,en,Do you have any promotional pricing this month?,price
Q00159,P0205,zh,保修期多久?,feature
Q00160,P0294,en,Will the order arrive before Chinese New Year?,delivery
Q00161,P0209,en,Is the price negotiable for 500 units?,price
Q00162,P0286,en,How long is the shipping time to Germany?,delivery
Q00163,P0323,zh,能发一下技术参数表吗?,feature
Q00164,P0393,en,What is the battery capacity?,feature
Q00165,P0313,en,What's the lead time for 1000 units?,delivery
Q00166,P0368,zh,急单能走空运吗?,delivery
Q00167,P0251,zh,"需要定制零售包装,可以做吗?",customization
Q00168,P0157,zh,能保证12月15号前到货吗?,delivery
Q00169,P0057,en,Does this product support waterproof IPX7?,feature
Q00170,P0027,zh,和同类产品相比价格偏高。,price
Q00171,P0086,en,"Your competitor offers $X less, can you match it?",price
Q00172,P0007,zh,首次合作能给9折吗?,price
Q00173,P0186,zh,材料是否不含BPA?,feature
Q00174,P0059,zh,这个月有促销价吗?,price
Q00175,P0497,zh,发到德国需要多久?,delivery
Q00176,P0343,en,Does it come with a CE certification?,feature
Q00177,P0320,en,What's the warranty period?,feature
Q00178,P0262,en,The price seems high compared to similar products.,price
Q00179,P0418,en,Is the price negotiable for 500 units?,price
Q00180,P0419,zh,支持OEM/ODM吗?,customization
Q00181,P0224,en,Is private label packaging available?,customization
Q00182,P0377,en,Will the order arrive before Chinese New Year?,delivery
Q00183,P0075,en,Will the order arrive before Chinese New Year?,delivery
Q00184,P0022,zh,首次合作能给9折吗?,price
Q00185,P0245,en,What is the minimum order quantity to get a discount?,price
Q00186,P0042,en,Does this product support waterproof IPX7?,feature
Q00187,P0318,zh,和同类产品相比价格偏高。,price
Q00188,P0381,zh,有CE认证吗?,feature
Q00189,P0269,en,The price seems high compared to similar products.,price
Q00190,P0241,zh,500件的话价格能再优惠吗?,price
Q00191,P0252,zh,材料是否不含BPA?,feature
Q00192,P0425,zh,包装上能加我们的logo吗?,customization
Q00193,P0265,en,The price seems high compared to similar products.,price
Q00194,P0458,en,Any chance of a 10% discount for first-time buyers?,price
Q00195,P0169,en,Does this product support waterproof IPX7?,feature
Q00196,P0463,en,Do you have any promotional pricing this month?,price
Q00197,P0299,en,How long is the shipping time to Germany?,delivery
Q00198,P0351,en,What is the minimum order quantity to get a discount?,price
Q00199,P0310,zh,有CE认证吗?,feature
Q00200,P0451,zh,1000件的生产周期多久?,delivery
Q00201,P0391,zh,能发一下技术参数表吗?,feature
Q00202,P0366,en,Is private label packaging available?,customization
Q00203,P0327,zh,春节前能到货吗?,delivery
Q00204,P0144,zh,包装上能加我们的logo吗?,customization
Q00205,P0173,zh,能发一下技术参数表吗?,feature
Q00206,P0388,en,"Your competitor offers $X less, can you match it?",price
Q00207,P0232,zh,春节前能到货吗?,delivery
Q00208,P0396,en,Can we add our logo on the packaging?,customization
Q00209,P0401,zh,"你们竞争对手报价更低,能否匹配?",price
Q00210,P0018,zh,支持OEM/ODM吗?,customization
Q00211,P0054,en,Do you support DDP shipping to the US?,delivery
Q00212,P0386,zh,能发一下技术参数表吗?,feature
Q00213,P0400,zh,颜色可以定制吗?,customization
Q00214,P0310,en,Can you offer a better price for bulk orders?,price
Q00215,P0257,en,"We need custom retail packaging, is that possible?",customization
Q00216,P0200,en,Does it come with a CE certification?,feature
Q00217,P0118,zh,支持OEM/ODM吗?,customization
Q00218,P0426,en,Can you change the box design to our brand?,customization
Q00219,P0198,zh,"你们竞争对手报价更低,能否匹配?",price
Q00220,P0093,zh,首次合作能给9折吗?,price
Q00221,P0358,en,"Your competitor offers $X less, can you match it?",price
Q00222,P0148,zh,能发一下技术参数表吗?,feature
Q00223,P0287,en,How long is the shipping time to Germany?,delivery
Q00224,P0297,zh,包装盒能换成我们的品牌设计吗?,customization
Q00225,P0248,zh,能保证12月15号前到货吗?,delivery
Q00226,P0033,en,Can you offer a better price for bulk orders?,price
Q00227,P0226,en,Is the price negotiable for 500 units?,price
Q00228,P0210,en,Is the material BPA-free?,feature
Q00229,P0270,zh,可以做自有品牌包装吗?,customization
Q00230,P0117,zh,500件的话价格能再优惠吗?,price
Q00231,P0264,zh,500件的话价格能再优惠吗?,price
Q00232,P0326,zh,能发一下技术参数表吗?,feature
Q00233,P0161,en,Is the price negotiable for 500 units?,price
Q00234,P0141,zh,大批量采购可以给个更好的价格吗?,price
Q00235,P0391,zh,能发一下技术参数表吗?,feature
Q00236,P0497,en,Will the order arrive before Chinese New Year?,delivery
Q00237,P0451,zh,有CE认证吗?,feature
Q00238,P0281,en,What is the battery capacity?,feature
Q00239,P0477,zh,500件的话价格能再优惠吗?,price
Q00240,P0017,en,How long is the shipping time to Germany?,delivery
Q00241,P0020,en,Do you support OEM/ODM service?,customization
Q00242,P0227,en,Any chance of a 10% discount for first-time buyers?,price
Q00243,P0025,en,How long is the shipping time to Germany?,delivery
Q00244,P0030,en,The price seems high compared to similar products.,price
Q00245,P0151,en,What's the warranty period?,feature
Q00246,P0000,en,How long is the shipping time to Germany?,delivery
Q00247,P0000,zh,最低起订量多少才能拿到折扣?,price
Q00248,P0166,en,How long is the shipping time to Germany?,delivery
Q00249,P0420,zh,支持DDP发到美国吗?,delivery
Q00250,P0121,en,Do you have any promotional pricing this month?,price
Q00251,P0114,zh,支持DDP发到美国吗?,delivery
Q00252,P0024,zh,"你们竞争对手报价更低,能否匹配?",price
Q00253,P0075,zh,能保证12月15号前到货吗?,delivery
Q00254,P0459,en,Can you offer a better price for bulk orders?,price
Q00255,P0015,en,The price seems high compared to similar products.,price
Q00256,P0120,zh,"你们竞争对手报价更低,能否匹配?",price
Q00257,P0424,zh,有CE认证吗?,feature
Q00258,P0309,zh,"你们竞争对手报价更低,能否匹配?",price
Q00259,P0427,zh,首次合作能给9折吗?,price
Q00260,P0227,zh,"你们竞争对手报价更低,能否匹配?",price
Q00261,P0180,zh,这个产品支持IPX7防水吗?,feature
Q00262,P0399,en,Can you share the technical spec sheet?,feature
Q00263,P0207,en,Can you share the technical spec sheet?,feature
Q00264,P0014,en,Any chance of a 10% discount for first-time buyers?,price
Q00265,P0082,en,Do you have any promotional pricing this month?,price
Q00266,P0369,zh,电池容量多少毫安?,feature
Q00267,P0296,zh,最低起订量多少才能拿到折扣?,price
Q00268,P0346,en,Do you have any promotional pricing this month?,price
Q00269,P0495,zh,大批量采购可以给个更好的价格吗?,price
Q00270,P0496,en,"Your competitor offers $X less, can you match it?",price
Q00271,P0448,en,Can you share the technical spec sheet?,feature
Q00272,P0310,zh,包装上能加我们的logo吗?,customization
Q00273,P0297,en,"Your competitor offers $X less, can you match it?",price
Q00274,P0418,zh,首次合作能给9折吗?,price
Q00275,P0115,zh,最低起订量多少才能拿到折扣?,price
Q00276,P0305,en,Is private label packaging available?,customization
Q00277,P0338,en,Does it come with a CE certification?,feature
Q00278,P0379,zh,电池容量多少毫安?,feature
Q00279,P0257,en,"We need custom retail packaging, is that possible?",customization
Q00280,P0260,zh,500件的话价格能再优惠吗?,price
Q00281,P0444,en,Is air freight available for urgent orders?,delivery
Q00282,P0074,zh,支持DDP发到美国吗?,delivery
Q00283,P0099,en,Can you change the box design to our brand?,customization
Q00284,P0106,zh,支持OEM/ODM吗?,customization
Q00285,P0439,zh,1000件的生产周期多久?,delivery
Q00286,P0370,zh,发到德国需要多久?,delivery
Q00287,P0284,zh,保修期多久?,feature
Q00288,P0432,zh,这个月有促销价吗?,price
Q00289,P0102,en,Does this product support waterproof IPX7?,feature
Q00290,P0489,en,What is the battery capacity?,feature
Q00291,P0443,zh,春节前能到货吗?,delivery
Q00292,P0304,en,Do you support DDP shipping to the US?,delivery
Q00293,P0300,en,Does this product support waterproof IPX7?,feature
Q00294,P0098,en,Can we add our logo on the packaging?,customization
Q00295,P0065,en,Is air freight available for urgent orders?,delivery
Q00296,P0169,zh,大批量采购可以给个更好的价格吗?,price
Q00297,P0049,en,Do you support OEM/ODM service?,customization
Q00298,P0139,zh,材料是否不含BPA?,feature
Q00299,P0261,en,"Your competitor offers $X less, can you match it?",price
Q00300,P0022,en,How long is the shipping time to Germany?,delivery
Q00301,P0326,zh,能保证12月15号前到货吗?,delivery
Q00302,P0126,en,Can you guarantee delivery before December 15?,delivery
Q00303,P0438,zh,500件的话价格能再优惠吗?,price
Q00304,P0491,zh,可以做自有品牌包装吗?,customization
Q00305,P0068,en,Can the color be customized?,customization
Q00306,P0048,zh,500件的话价格能再优惠吗?,price
Q00307,P0271,zh,材料是否不含BPA?,feature
Q00308,P0080,en,"Your competitor offers $X less, can you match it?",price
Q00309,P0367,zh,可以做自有品牌包装吗?,customization
Q00310,P0202,en,The price seems high compared to similar products.,price
Q00311,P0103,zh,这个产品支持IPX7防水吗?,feature
Q00312,P0448,en,Do you support OEM/ODM service?,customization
Q00313,P0423,en,What is the minimum order quantity to get a discount?,price
Q00314,P0224,en,Can you offer a better price for bulk orders?,price
Q00315,P0425,zh,大批量采购可以给个更好的价格吗?,price
Q00316,P0265,en,Is private label packaging available?,customization
Q00317,P0080,en,Is the price negotiable for 500 units?,price
Q00318,P0388,zh,包装上能加我们的logo吗?,customization
Q00319,P0264,en,Do you support DDP shipping to the US?,delivery
Q00320,P0065,en,Do you support DDP shipping to the US?,delivery
Q00321,P0241,zh,大批量采购可以给个更好的价格吗?,price
Q00322,P0277,en,Can the color be customized?,customization
Q00323,P0015,en,Any chance of a 10% discount for first-time buyers?,price
Q00324,P0160,zh,大批量采购可以给个更好的价格吗?,price
Q00325,P0200,en,What's the warranty period?,feature
Q00326,P0494,en,Will the order arrive before Chinese New Year?,delivery
Q00327,P0234,zh,材料是否不含BPA?,feature
Q00328,P0170,zh,这个月有促销价吗?,price
Q00329,P0397,en,Can you offer a better price for bulk orders?,price
Q00330,P0396,zh,能发一下技术参数表吗?,feature
Q00331,P0218,zh,"你们竞争对手报价更低,能否匹配?",price
Q00332,P0496,en,Can you share the technical spec sheet?,feature
Q00333,P0229,en,Is the price negotiable for 500 units?,price
Q00334,P0316,en,The price seems high compared to similar products.,price
Q00335,P0159,zh,1000件的生产周期多久?,delivery
Q00336,P0329,en,What is the battery capacity?,feature
Q00337,P0475,en,Can you share the technical spec sheet?,feature
Q00338,P0339,en,Can you offer a better price for bulk orders?,price
Q00339,P0224,en,What's the warranty period?,feature
Q00340,P0495,zh,支持OEM/ODM吗?,customization
Q00341,P0151,zh,能保证12月15号前到货吗?,delivery
Q00342,P0369,en,Can you change the box design to our brand?,customization
Q00343,P0359,zh,发到德国需要多久?,delivery
Q00344,P0209,zh,能保证12月15号前到货吗?,delivery
Q00345,P0204,en,Does it come with a CE certification?,feature
Q00346,P0045,en,Is air freight available for urgent orders?,delivery
Q00347,P0331,zh,有CE认证吗?,feature
Q00348,P0098,en,The price seems high compared to similar products.,price
Q00349,P0123,zh,有CE认证吗?,feature
Q00350,P0137,en,What's the warranty period?,feature
Q00351,P0337,en,What is the minimum order quantity to get a discount?,price
Q00352,P0271,en,"We need custom retail packaging, is that possible?",customization
Q00353,P0305,zh,能发一下技术参数表吗?,feature
Q00354,P0160,zh,大批量采购可以给个更好的价格吗?,price
Q00355,P0342,en,Can the color be customized?,customization
Q00356,P0437,en,Do you have any promotional pricing this month?,price
Q00357,P0467,en,What is the battery capacity?,feature
Q00358,P0272,en,"We need custom retail packaging, is that possible?",customization
Q00359,P0167,zh,急单能走空运吗?,delivery
Q00360,P0461,zh,首次合作能给9折吗?,price
Q00361,P0372,zh,这个产品支持IPX7防水吗?,feature
Q00362,P0240,zh,这个产品支持IPX7防水吗?,feature
Q00363,P0322,en,What's the lead time for 1000 units?,delivery
Q00364,P0292,en,"Your competitor offers $X less, can you match it?",price
Q00365,P0408,en,What's the lead time for 1000 units?,delivery
Q00366,P0003,en,Can the color be customized?,customization
Q00367,P0419,zh,大批量采购可以给个更好的价格吗?,price
Q00368,P0057,zh,这个月有促销价吗?,price
Q00369,P0096,zh,能保证12月15号前到货吗?,delivery
Q00370,P0309,en,Is the price negotiable for 500 units?,price
Q00371,P0034,zh,可以做自有品牌包装吗?,customization
Q00372,P0135,zh,最低起订量多少才能拿到折扣?,price
Q00373,P0055,zh,颜色可以定制吗?,customization
Q00374,P0211,en,Does this product support waterproof IPX7?,feature
Q00375,P0343,zh,电池容量多少毫安?,feature
Q00376,P0499,zh,这个产品支持IPX7防水吗?,feature
Q00377,P0363,en,Is air freight available for urgent orders?,delivery
Q00378,P0230,en,Do you support OEM/ODM service?,customization
Q00379,P0336,en,Do you support DDP shipping to the US?,delivery
Q00380,P0416,zh,急单能走空运吗?,delivery
Q00381,P0160,en,Is the material BPA-free?,feature
Q00382,P0245,zh,电池容量多少毫安?,feature
Q00383,P0439,en,Is private label packaging available?,customization
Q00384,P0266,en,Is the price negotiable for 500 units?,price
Q00385,P0000,en,What is the minimum order quantity to get a discount?,price
Q00386,P0017,zh,发到德国需要多久?,delivery
Q00387,P0084,zh,材料是否不含BPA?,feature
Q00388,P0411,zh,最低起订量多少才能拿到折扣?,price
Q00389,P0046,zh,发到德国需要多久?,delivery
Q00390,P0128,zh,1000件的生产周期多久?,delivery
Q00391,P0375,zh,能发一下技术参数表吗?,feature
Q00392,P0109,en,Do you support DDP shipping to the US?,delivery
Q00393,P0059,zh,首次合作能给9折吗?,price
Q00394,P0087,en,What is the minimum order quantity to get a discount?,price
Q00395,P0495,en,Does it come with a CE certification?,feature
Q00396,P0224,zh,最低起订量多少才能拿到折扣?,price
Q00397,P0487,zh,春节前能到货吗?,delivery
Q00398,P0110,en,Is private label packaging available?,customization
Q00399,P0367,en,What is the battery capacity?,feature
Q00400,P0414,zh,材料是否不含BPA?,feature
Q00401,P0024,en,Can you share the technical spec sheet?,feature
Q00402,P0130,en,Can you share the technical spec sheet?,feature
Q00403,P0413,zh,发到德国需要多久?,delivery
Q00404,P0135,en,Does it come with a CE certification?,feature
Q00405,P0282,en,Do you support DDP shipping to the US?,delivery
Q00406,P0000,en,Is the material BPA-free?,feature
Q00407,P0323,zh,和同类产品相比价格偏高。,price
Q00408,P0234,zh,大批量采购可以给个更好的价格吗?,price
Q00409,P0029,zh,支持DDP发到美国吗?,delivery
Q00410,P0097,zh,"你们竞争对手报价更低,能否匹配?",price
Q00411,P0049,en,What's the warranty period?,feature
Q00412,P0088,en,"Your competitor offers $X less, can you match it?",price
Q00413,P0160,zh,最低起订量多少才能拿到折扣?,price
Q00414,P0178,en,What's the lead time for 1000 units?,delivery
Q00415,P0102,zh,500件的话价格能再优惠吗?,price
Q00416,P0049,zh,包装盒能换成我们的品牌设计吗?,customization
Q00417,P0309,en,"Your competitor offers $X less, can you match it?",price
Q00418,P0377,zh,首次合作能给9折吗?,price
Q00419,P0498,zh,这个产品支持IPX7防水吗?,feature
Q00420,P0161,en,Can you offer a better price for bulk orders?,price
Q00421,P0403,zh,"需要定制零售包装,可以做吗?",customization
Q00422,P0249,zh,500件的话价格能再优惠吗?,price
Q00423,P0190,zh,春节前能到货吗?,delivery
Q00424,P0064,zh,支持DDP发到美国吗?,delivery
Q00425,P0051,en,Any chance of a 10% discount for first-time buyers?,price
Q00426,P0179,zh,可以做自有品牌包装吗?,customization
Q00427,P0316,en,Is air freight available for urgent orders?,delivery
Q00428,P0195,zh,包装盒能换成我们的品牌设计吗?,customization
Q00429,P0283,en,Any chance of a 10% discount for first-time buyers?,price
Q00430,P0277,zh,支持DDP发到美国吗?,delivery
Q00431,P0189,en,Can you offer a better price for bulk orders?,price
Q00432,P0361,en,"Your competitor offers $X less, can you match it?",price
Q00433,P0281,en,Is air freight available for urgent orders?,delivery
Q00434,P0413,en,Can you share the technical spec sheet?,feature
Q00435,P0334,zh,包装上能加我们的logo吗?,customization
Q00436,P0196,zh,和同类产品相比价格偏高。,price
Q00437,P0002,zh,"需要定制零售包装,可以做吗?",customization
Q00438,P0281,zh,首次合作能给9折吗?,price
Q00439,P0426,zh,最低起订量多少才能拿到折扣?,price
Q00440,P0002,en,Do you support DDP shipping to the US?,delivery
Q00441,P0439,en,What's the warranty period?,feature
Q00442,P0135,zh,发到德国需要多久?,delivery
Q00443,P0248,zh,最低起订量多少才能拿到折扣?,price
Q00444,P0481,zh,发到德国需要多久?,delivery
Q00445,P0297,en,"We need custom retail packaging, is that possible?",customization
Q00446,P0050,en,Can we add our logo on the packaging?,customization
Q00447,P0282,en,What is the battery capacity?,feature
Q00448,P0212,zh,"需要定制零售包装,可以做吗?",customization
Q00449,P0059,en,How long is the shipping time to Germany?,delivery
Q00450,P0142,zh,这个产品支持IPX7防水吗?,feature
Q00451,P0011,zh,大批量采购可以给个更好的价格吗?,price
Q00452,P0345,en,Do you support DDP shipping to the US?,delivery
Q00453,P0188,zh,大批量采购可以给个更好的价格吗?,price
Q00454,P0230,en,Can you share the technical spec sheet?,feature
Q00455,P0069,en,Do you support DDP shipping to the US?,delivery
Q00456,P0048,en,What is the minimum order quantity to get a discount?,price
Q00457,P0404,en,Do you support OEM/ODM service?,customization
Q00458,P0325,en,Is private label packaging available?,customization
Q00459,P0214,zh,颜色可以定制吗?,customization
Q00460,P0267,en,Can you guarantee delivery before December 15?,delivery
Q00461,P0020,zh,可以做自有品牌包装吗?,customization
Q00462,P0451,en,Can you share the technical spec sheet?,feature
Q00463,P0418,zh,和同类产品相比价格偏高。,price
Q00464,P0417,en,Can you offer a better price for bulk orders?,price
Q00465,P0457,zh,大批量采购可以给个更好的价格吗?,price
Q00466,P0222,en,Does it come with a CE certification?,feature
Q00467,P0155,zh,500件的话价格能再优惠吗?,price
Q00468,P0482,en,What is the minimum order quantity to get a discount?,price
Q00469,P0353,zh,大批量采购可以给个更好的价格吗?,price
Q00470,P0421,zh,能发一下技术参数表吗?,feature
Q00471,P0397,en,"We need custom retail packaging, is that possible?",customization
Q00472,P0449,zh,春节前能到货吗?,delivery
Q00473,P0241,zh,包装盒能换成我们的品牌设计吗?,customization
Q00474,P0180,en,Can you guarantee delivery before December 15?,delivery
Q00475,P0038,en,Is air freight available for urgent orders?,delivery
Q00476,P0465,en,What is the battery capacity?,feature
Q00477,P0078,en,What is the battery capacity?,feature
Q00478,P0109,zh,和同类产品相比价格偏高。,price
Q00479,P0488,zh,春节前能到货吗?,delivery
Q00480,P0076,en,Is the price negotiable for 500 units?,price
Q00481,P0284,en,What is the minimum order quantity to get a discount?,price
Q00482,P0312,zh,可以做自有品牌包装吗?,customization
Q00483,P0308,zh,首次合作能给9折吗?,price
Q00484,P0173,zh,包装上能加我们的logo吗?,customization
Q00485,P0218,en,Is the price negotiable for 500 units?,price
Q00486,P0385,en,Do you support OEM/ODM service?,customization
Q00487,P0160,en,What's the lead time for 1000 units?,delivery
Q00488,P0217,zh,这个产品支持IPX7防水吗?,feature
Q00489,P0084,zh,首次合作能给9折吗?,price
Q00490,P0053,en,Can you change the box design to our brand?,customization
Q00491,P0254,zh,发到德国需要多久?,delivery
Q00492,P0243,zh,发到德国需要多久?,delivery
Q00493,P0033,en,Will the order arrive before Chinese New Year?,delivery
